
City	FAA	IATA	ICAO	Airport	Role	Enplanements
Santa Fe	SAF	SAF	KSAF	Santa Fe Municipal Airport (scheduled passenger service resumed 2009)	P-N [nb 15]	43,807
NEW YORK						
Albany	ALB	ALB	KALB	Albany International Airport	P-S	1,250,282
Binghamton	BGM	BGM	KBGM	Greater Binghamton Airport (Edwin A. Link Field)	P-N	108,988
Buffalo	BUF	BUF	KBUF	Buffalo Niagara International Airport	P-M	2,602,968
Elmira / Corning	ELM	ELM	KELM	Elmira/Corning Regional Airport	P-N	131,358
Islip	ISP	ISP	KISP	Long Island MacArthur Airport	P-S	858,741
Ithaca	ITH	ITH	KITH	Ithaca Tompkins Regional Airport	P-N	121,390
New York	JFK	JFK	KJFK	John F. Kennedy International Airport	P-L	22,934,047
New York	LGA	LGA	KLGA	LaGuardia Airport (and Marine Air Terminal)	P-L	12,001,501
Newburgh	SWF	SWF	KSWF	Stewart International Airport	P-S	201,684
Plattsburgh	PBG	PBG	KPBG	Plattsburgh International Airport	P-N	94,808
Rochester	ROC	ROC	KROC	Greater Rochester International Airport	P-S	1,263,965
Syracuse	SYR	SYR	KSYR	Syracuse Hancock International Airport	P-S	1,024,505
White Plains	HPN	HPN	KHPN	Westchester County Airport	P-S	999,831
NORTH CAROLINA						
Asheville	AVL	AVL	KAVL	Asheville Regional Airport	P-N	371,226
Charlotte	CLT	CLT	KCLT	Charlotte/Douglas International Airport	P-L	18,629,181
Fayetteville	FAY	FAY	KFAY	Fayetteville Regional Airport (Grannis Field)	P-N	258,986
Greensboro	GSO	GSO	KGSO	Piedmont Triad International Airport	P-S	855,073
Greenville	PGV	PGV	KPGV	Pitt-Greenville Airport	P-N	61,899
Jacksonville	OAJ	OAJ	KOAJ	Albert J. Ellis Airport	P-N	154,307
New Bern	EWN	EWN	KEWN	Coastal Carolina Regional Airport (was Craven County Regional)	P-N	126,800
Raleigh	RDU	RDU	KRDU	Raleigh-Durham International Airport	P-M	4,465,736
Wilmington	ILM	ILM	KILM	Wilmington International Airport	P-S	408,058
NORTH DAKOTA						
Bismarck	BIS	BIS	KBIS	Bismarck Municipal Airport	P-N	178,005
Fargo	FAR	FAR	KFAR	Hector International Airport	P-N	326,941
Grand Forks	GFK	GFK	KGFK	Grand Forks International Airport	P-N	88,093
Minot	MOT	MOT	KMOT	Minot International Airport	P-N	71,595
Williston	ISN	ISN	KISN	Sloulin Field International Airport	P-N [nb 16]	12,163
OHIO						
Akron / Canton	CAK	CAK	KCAK	Akron-Canton Regional Airport	P-S	715,367
Cleveland	CLE	CLE	KCLE	Cleveland-Hopkins International Airport	P-M	4,704,329
Columbus	CMH	CMH	KCMH	Port Columbus International Airport	P-M	3,096,515
Dayton	DAY	DAY	KDAY	James M. Cox Dayton International Airport	P-S	1,240,848
Toledo	TOL	TOL	KTOL	Toledo Express Airport	P-N	93,669
Youngstown / Warren	YNG	YNG	KYNG	Youngstown-Warren Regional Airport / Youngstown ARS	P-N	17,391
OKLAHOMA						
Lawton	LAW	LAW	KLAW	Lawton–Fort Sill Regional Airport	P-N	77,533
Oklahoma City	OKC	OKC	KOKC	Will Rogers World Airport	P-S	1,838,709
Tulsa	TUL	TUL	KTUL	Tulsa International Airport	P-S	1,606,622
OREGON						
Eugene	EUG	EUG	KEUG	Eugene Airport (Mahlon Sweet Field)	P-N	369,397
Klamath Falls	LMT	LMT	KLMT	Klamath Falls Airport (Kingsley Field)	P-N	21,353
Medford	MFR	MFR	KMFR	Rogue Valley International-Medford Airport	P-N	310,824
North Bend	OTH	OTH	KOTH	Southwest Oregon Regional Airport (was North Bend Municipal)	P-N	23,124
Portland	PDX	PDX	KPDX	Portland International Airport	P-M	6,582,227
Redmond	RDM	RDM	KRDM	Redmond Municipal Airport (Roberts Field)	P-N	226,400
PENNSYLVANIA						
Allentown	ABE	ABE	KABE	Lehigh Valley International Airport	P-S	414,427
Erie	ERI	ERI	KERI	Erie International Airport (Tom Ridge Field)	P-N	127,184
Harrisburg / Middletown	MDT	MDT	KMDT	Harrisburg International Airport	P-S	664,968
Philadelphia	PHL	PHL	KPHL	Philadelphia International Airport	P-L	14,951,254
Pittsburgh	PIT	PIT	KPIT	Pittsburgh International Airport	P-M	3,996,656
State College	UNV	SCE	KUNV	University Park Airport	P-N	143,531
Wilkes-Barre / Scranton	AVP	AVP	KAVP	Wilkes-Barre/Scranton International Airport	P-N	213,422
Williamsport	IPT	IPT	KIPT	Williamsport Regional Airport	P-N	22,519
RHODE ISLAND						
Providence / Warwick	PVD	PVD	KPVD	Theodore Francis Green State Airport	P-M	1,951,566
Westerly	WST	WST	KWST	Westerly State Airport	P-N	11,402
SOUTH CAROLINA						
Charleston	CHS	CHS	KCHS	Charleston International Airport / Charleston AFB	P-S	1,013,418
Columbia	CAE	CAE	KCAE	Columbia Metropolitan Airport	P-S	486,879
Florence	FLO	FLO	KFLO	Florence Regional Airport	P-N	82,961
Greer	GSP	GSP	KGSP	Greenville-Spartanburg International Airport (Roger Milliken Field)	P-S	642,512
Hilton Head Island	HXD	HHH	KHXD	Hilton Head Airport	P-N	73,776
Myrtle Beach	MYR	MYR	KMYR	Myrtle Beach International Airport	P-S	782,737
SOUTH DAKOTA						
Aberdeen	ABR	ABR	KABR	Aberdeen Regional Airport	P-N	20,089
Pierre	PIR	PIR	KPIR	Pierre Regional Airport	P-N	14,686
Rapid City	RAP	RAP	KRAP	Rapid City Regional Airport	P-N	284,126
